vehicle_type,fault_code,vehicle_age_months,mileage_km,prior_services,technician_notes,replaced_part,root_cause
EV,EV0501,29,34845,5,Routine service flagged warning light on dash. Root cause traced to dc-dc converter fault.,DC-DC converter,DC-DC converter fault
Scooter,P0230,27,51255,6,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0204,5,22106,1,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
ICE,P0088,22,5841,1,Routine service flagged warning light on dash. Root cause traced to fuel pressure sensor fault.,Fuel pressure sensor,Fuel pressure sensor fault
EV,EV0205,9,39496,5,Routine service flagged unusual noise. Root cause traced to motor phase wiring fault.,Motor phase wiring,Motor phase wiring fault
Scooter,P0442,53,8875,2,"Customer reported power loss on acceleration. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
EV,EV0310,33,24212,2,Bike came in with reduced range. onboard charger fault suspected after inspection.,Onboard charger,Onboard charger fault
Scooter,P0340,13,15346,0,Routine service flagged battery draining fast. Root cause traced to cam position sensor fault.,Cam position sensor,Cam position sensor fault
ICE,P0172,43,22570,3,"No prior complaints, code triggered during diagnostic scan. fuel injector stuck open confirmed on teardown.",Fuel injector,Fuel injector stuck open
ICE,P0115,54,45906,6,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0562,27,24374,4,"No prior complaints, code triggered during diagnostic scan. wiring corrosion confirmed on teardown.",Wiring harness,Wiring corrosion
Scooter,P0230,15,35496,3,"No prior complaints, code triggered during diagnostic scan. fuel pump relay fault confirmed on teardown.",Fuel pump relay,Fuel pump relay fault
Scooter,P0130,44,37883,4,Routine service flagged battery draining fast. Root cause traced to oxygen sensor fault.,O2 sensor,Oxygen sensor fault
Scooter,P0442,11,54035,5,Bike came in with battery draining fast. evap system leak suspected after inspection.,EVAP hose/canister,EVAP system leak
ICE,P0088,42,31995,3,"Customer reported power loss on acceleration. Checked fuel pressure sensor, found issue consistent with fuel pressure sensor fault.",Fuel pressure sensor,Fuel pressure sensor fault
ICE,P0700,19,5996,0,Bike came in with battery draining fast. transmission control fault suspected after inspection.,TCU,Transmission control fault
ICE,P0507,59,15051,1,"Customer reported slow charging. Checked throttle body, found issue consistent with throttle body dirty.",Throttle body,Throttle body dirty
Scooter,P0303,33,25007,2,"Customer reported warning light on dash. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
ICE,P0141,21,6993,1,Bike came in with reduced range. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0302,59,54879,6,Bike came in with battery draining fast. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
EV,EV0501,29,40827,4,"Customer reported warning light on dash. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
ICE,P0135,36,48160,7,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0230,20,8485,0,"No prior complaints, code triggered during diagnostic scan. fuel pump relay fault confirmed on teardown.",Fuel pump relay,Fuel pump relay fault
Scooter,P0100,39,35630,3,Bike came in with power loss on acceleration. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0110,28,602,1,"No prior complaints, code triggered during diagnostic scan. iat sensor fault confirmed on teardown.",IAT sensor,IAT sensor fault
EV,EV0310,34,24132,2,"Customer reported slow charging. Checked charging cable, found issue consistent with charging cable fault.",Charging cable,Charging cable fault
ICE,P0620,41,25854,3,"Customer reported warning light on dash. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
Scooter,P0304,16,48534,7,Routine service flagged reduced range. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
Scooter,P0302,35,22687,3,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
ICE,P0620,52,9337,0,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0230,3,52346,5,Routine service flagged warning light on dash. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0480,53,36088,4,Bike came in with warning light on dash. cooling fan fault suspected after inspection.,Cooling fan,Cooling fan fault
ICE,P0420,56,43474,5,Routine service flagged slow charging. Root cause traced to catalytic converter worn.,Catalytic converter,Catalytic converter worn
Scooter,P0455,58,25839,3,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
Scooter,B1318,60,52751,7,"Customer reported power loss on acceleration. Checked 12v battery, found issue consistent with 12v battery weak.",12V battery,12V battery weak
ICE,P0507,28,39982,3,Routine service flagged rough idling. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
Scooter,P0171,43,19875,2,"No prior complaints, code triggered during diagnostic scan. fuel pump weak confirmed on teardown.",Fuel pump,Fuel pump weak
EV,EV0412,23,29803,2,Routine service flagged unusual noise. Root cause traced to hv isolation fault.,HV wiring/insulation,HV isolation fault
Scooter,P0507,41,52370,5,"No prior complaints, code triggered during diagnostic scan. idle air control valve fault confirmed on teardown.",Idle air control valve,Idle air control valve fault
ICE,P0480,2,9857,2,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
ICE,P0105,16,51520,7,"No prior complaints, code triggered during diagnostic scan. map sensor fault confirmed on teardown.",MAP sensor,MAP sensor fault
ICE,P0302,44,29986,3,"Customer reported unusual noise. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
Scooter,P0105,26,21103,3,"Customer reported rough idling. Checked map sensor, found issue consistent with map sensor fault.",MAP sensor,MAP sensor fault
Scooter,P0120,34,25861,4,Routine service flagged power loss on acceleration. Root cause traced to throttle position sensor fault.,Throttle position sensor,Throttle position sensor fault
ICE,P0562,40,19215,3,"No prior complaints, code triggered during diagnostic scan. wiring corrosion confirmed on teardown.",Wiring harness,Wiring corrosion
ICE,P0100,55,5353,0,"No prior complaints, code triggered during diagnostic scan. maf sensor dirty confirmed on teardown.",MAF sensor,MAF sensor dirty
EV,EV0311,43,23268,3,Routine service flagged warning light on dash. Root cause traced to main contactor fault.,Main contactor,Main contactor fault
ICE,P0115,51,24190,4,Bike came in with battery draining fast. coolant temp sensor fault suspected after inspection.,Coolant temp sensor,Coolant temp sensor fault
ICE,P0105,51,32876,3,Routine service flagged slow charging. Root cause traced to map sensor fault.,MAP sensor,MAP sensor fault
Scooter,P0715,40,58449,6,"No prior complaints, code triggered during diagnostic scan. input speed sensor fault confirmed on teardown.",Input speed sensor,Input speed sensor fault
EV,P0A80,34,27421,3,"Customer reported reduced range. Checked battery module, found issue consistent with cell voltage imbalance.",Battery module,Cell voltage imbalance
ICE,P0335,29,31028,4,Bike came in with battery draining fast. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0715,50,8956,1,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0100,20,11290,0,Bike came in with warning light on dash. maf sensor dirty suspected after inspection.,MAF sensor,MAF sensor dirty
Scooter,P0700,55,5668,0,Routine service flagged reduced range. Root cause traced to transmission control fault.,TCU,Transmission control fault
EV,EV0204,40,35462,3,Bike came in with unusual noise. cooling fan fault suspected after inspection.,Cooling fan,Cooling fan fault
Scooter,P0730,11,43670,6,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0720,53,57108,6,Routine service flagged power loss on acceleration. Root cause traced to output speed sensor fault.,Output speed sensor,Output speed sensor fault
Scooter,P0135,40,42376,4,Routine service flagged power loss on acceleration. Root cause traced to o2 sensor heater fault.,O2 sensor,O2 sensor heater fault
Scooter,P0325,16,53236,7,"No prior complaints, code triggered during diagnostic scan. knock sensor fault confirmed on teardown.",Knock sensor,Knock sensor fault
EV,EV0412,11,29309,3,Bike came in with warning light on dash. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
EV,EV0101,21,56958,8,Routine service flagged slow charging. Root cause traced to battery cell imbalance.,Battery module,Battery cell imbalance
Scooter,P0105,33,37308,3,"No prior complaints, code triggered during diagnostic scan. map sensor fault confirmed on teardown.",MAP sensor,MAP sensor fault
Scooter,P0191,16,9732,0,"No prior complaints, code triggered during diagnostic scan. fuel pressure sensor fault confirmed on teardown.",Fuel pressure sensor,Fuel pressure sensor fault
EV,EV0102,16,57208,6,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0115,33,31093,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0171,33,30465,2,Routine service flagged rough idling. Root cause traced to fuel pump weak.,Fuel pump,Fuel pump weak
Scooter,P0303,32,39658,5,Routine service flagged unusual noise. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
ICE,P0300,28,9277,1,"No prior complaints, code triggered during diagnostic scan. fuel injector clog confirmed on teardown.",Fuel injector,Fuel injector clog
Scooter,P0302,4,37873,5,Routine service flagged rough idling. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
Scooter,P0442,49,36535,4,"Customer reported reduced range. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
Scooter,P0172,24,52594,6,Routine service flagged battery draining fast. Root cause traced to maf sensor dirty.,MAF sensor,MAF sensor dirty
ICE,P0110,39,33865,4,"Customer reported rough idling. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0105,52,31547,4,Bike came in with warning light on dash. map sensor fault suspected after inspection.,MAP sensor,MAP sensor fault
EV,EV0102,11,26252,4,Routine service flagged unusual noise. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0340,46,37391,4,"Customer reported warning light on dash. Checked cam position sensor, found issue consistent with cam position sensor fault.",Cam position sensor,Cam position sensor fault
